Comment	sentiment
Mereka&quot; ini adalah contoh Makhluk&quot; yng tdk pernah merasakan didikan Orang Tua &amp; Agama	0
Ini sdh mjd pilihan mreka, manusia mn pun gak berhak menghakimi. Mslh dosa itu urusan mreka dan Tuhan nya. Yg psti hidup itu hrs bahagia🤙🏻🤙🏻🤙🏻	1
bisa diliat ini mereka berdua open minded bangeeet dan full of understanding, gak sok2an alay karena mereka “beda”, bahkan ama opini2 orang lain mereka gak ngejudge balik 👏🏼	1
Aku seneng kalau melihat orang senang	2
suka sama podcast nya😄😄😄<br>gak bosen-bosen nontonnya	2
Pemikiran yg salah lesbian membuat dirinya masih perawan ,ya kalau dia berhubungan Deng an pakai alat apakah vaginanya NGK tersentuh ya ,padahal sama ajah loh emang hanya Deng an hubungan dengan laki laki vaginanya ngk perawan ,lah dengan tangan ajah bisa membuka keperawanan vagina wanita loh ,nah kalau berkata Deng an lesbian kita ngk bisa Hamil Baru be nar,soalnya kata perawan Deng an Hamil beda loh	2
Saya gak blg IYA atau TIDAK untk hal ini. Hnya sja, kalau udah BELOK maah BELOK aja. Gak usah smpai ngrusak diri/ksehatan dg ROKOK, MNUMAN KERAS, PRGAULAN MALAM/BEBAS atau nongkrong d tmpat tmpat yg &quot;gak jlas&quot;. Mlah kliahatan GAK KEREN sma skali. Ini jg yg smkin brpotensi kena diskriminasi. okelah BELOK, tp ttp SEHAT, cakep dan jgn lupa IBADAH.	2
Channel orang2 sakit/menyimpang..	0
saya pikir terus dan terus ngga pernah nyampe	2
kalo gue punya banyak duitttt gue pasti udah melarikan diri dari negara ini :)	1
Nyimak ceritanya	2
Hidup kita ya gak kita... Lakukan apa yg membuat kita bahagia selama itu tidak merugikan orang lain... <br>Orang lain hanya jadi penonton, tidak tau apa yg sedang kita rasakan..	1
ohh ternyata dihapus ya video nya yg kemaren, pantes gak ada bang	2
Bukan diskriminasi guoblok... <br>Jadilah wanita sesui kodratnya... Parahhh manusia akhir dunia	0
Pastinya diskriminasi itu ada, karena tingkat religius masyarakat Indonesia sangat tinggi. Jelas..<br>1.KETUHANAN YANG MAHA ESA<br><br>Agama apapun sudah pasti melarang keras LGBTQ.. kalau mau g di diskriminasi pindah negara saja. Selesai deh 😀😀😀	0
No komen dah kalo anda muslim pasti tau harus dukung yg mana.. Kalo agama lain ya terserah mau dukung yg mana straight or belok apalagi yg atheis/agnostik 😁.. Gw cmn ingetin ye biar kalian nggk kebablasan. Yg mau ngatain sok suci ya terserah kalian namanya sosmed orang bebas berpendapat dan berekspresi kan 🙏👍	2
Pernah denger ceritanya Nabi Luth?	0
mau di panggil apa aja tetap aja perbuatan yg menjijikan!!!	0
Menarik nih, gimana beban hidup nya juga gay gurl di lingkungan Indonesia. Im slowly coming out, tapi ya lagi lagi keluarga menjadi sumber ketakutan utama untuk coming out. Gw sempet pernah coming out secara terang terangan di tahun lalu 2020, kurang lebih bulan maret. Dan yaa, terusir bung 😂<br>Sampai akhir nya bulan desember 2020 gw coba memperbaiki hubungan dengan bokap, karena alasan utama gw, gw sayang dia gw kangen dia. Dengan cara, ya gw udah kaya pengakuan dosa. Gw datang dri kota yang berbeda provinsi yang berbeda jauh jauh cuman buat pura pura mengakui kalau gw udah lurus, udah sadar kalau LGBT itu menyimpang dan lain&quot; lah. Bokap gw bilang ini penyakit menular, karena trauma lah, ini karena pergaulan lah segala macam. Sampai mau bawa gw ke psikiater buat pengobatan, hmmm, wtf? :v tapi ya udah lah ya, biarin aja. Yang penting gw masih bisa liat dia, tau kabar dia. <br>Dan sekarang gw berjuang dengan pilihan gw, gw tetep ga tinggal serumah, gw tinggal beda provinsi sama bokap, karena alasan gw yang ga mau ada di lingkungan yang bikin gw tambah tertekan dengan orang orang sekitar, dan juga ga mau serumah sama &quot;butir&quot; gw sih. 😂<br>If you know, u will crazy. Knapa alasan gw sampe ga mau serumah. 😂<br>Dan itu semua, terjadi di masa masa gw sedang ada di masa transisi remaja. Ya, saat coming out pertama tahun lalu itu gw baru umur 15, dan sekarang baru 16, otw 17. Daammn, kalau gw inget panjang juga nih masa masa gw jadi gembel 🤣	1
Intinya jgn ngejudge seseorang untuk sebuah pilihan perasaan	2
cewe baju item apaan dah gaje 😂	0
renyah banget ketawa hostnya	2
Astagfirullah	0
pasangan yang asik nih orangnya, periang duaduanya jadi seneng dan terhibur liatnya👍👍	1
Suka sama couple ini	1
Sukses terus bang	1
SUKA BANGET SAMA PASANGAN INI🥰❤	1
Oke besok undang yang asexual	1
klo kecil&quot; udh gtu brati emng udh bawaan, apalgi d kampung, so mereka bukan ktularan tp emng udh dr mereka sendiri, aplg skrg hp aja bisa sglnya, so bisa&quot;ny diskriminasi, kumpul kebo aja bnyk yg ngidolain kok	2
Diskriminasi? emng warga +62 tuh aneh, sok suci tp klo ena&quot; lolos pada wao wao	0
Sumpahhh, gw suka banget ini. Keren banget Kak Sandra sama Kak Boya. Serius. I need a friend like u guys. I mean it.<br>Masukan utk Abang nya, Bang, pas nanyak² &amp; tamunya lagi jawab, kurang²in ketawa nya. Serius, jd kayak kepotong² penjelasannya ... 🙏🏻. Masukan aja ya, Bang. Sukses terus utk Ability ... ❤️❤️❤️❤️❤️	1
nyari lesbsn dmn ya? ada yg tau?	1
Ada teh Xandra dn Boya 😍	1
Sngt miris,,,bener&#39;&#39; akhir zaman pada gag adh otak jijik bngt gue	0
Tobat woyyyyy gila orngtua lu noh nanggung dosa lu	0
Tobat mbak... kasihan ortu🤔🙏	0
Sebenarnya gay/lesbi tuh udah ada semenjak dulu, dan jumlahnya buuaannyyaakk .. namun yg muncul dipermukaan nggak begitu banyak ... anggap aja gunung es di samudra, dipermukaan kelihatan kecil tapi yg dibawah permukaan luar biasa banyak ... Banyak gay/lesbian yg &quot;bersembunyi&quot; dibalik sebuah &quot;keluarga normal&quot; sekedar mengikuti kaidah hidup yg dipaksakan masyarakat umumnya ...	2
Sorry telat bgt nonton nya😭😭😭🙏🙏🙏🙏🙏,,, sukses trus ability Chanel❤️❤️❤️🔥	1
Demi ye, gw g pernah nonton podcast ampe hbis, tp ini enjoy beut asli. Smpe ulang2in buat record quotes si xandra😂	1
Ya Allah.... berilah hidayah bagi mereka sisa kaum nabi Luth....dan selamatkan kami, keluarga kami dan bangsa kami.... semoga komunitas menyimpang tidak pernah legal Indonesia	0
Jika tetap ingin LGBT, silahkan kerja-nabung-pindah keluar negeri, jangan stay di indonesia....anjing dan babi jauh lebih mulia daripada kelakuanmu itu 🔥 tidak usah sok memberi penjelasan ini itu, sok bijak ngajakin persaudaraan, giring opini seakan LGBT itu baik, bangke 😂	0
Sebenernya kalian sendiri yang menstigma dengan membuat komunitas LGBT, sehingga kalian sendiri merasa berbeda	0
Nalar oh nalar sudah hilang. Tuhan sudah menciptakan manusia 2 jenis ( laki² dan perempuan) tujuannya untuk saling berpasangan 2 jenis itu tadi. Eh ini malah berpasangan sesama jenis	0
Untuk semua orang  yg kontra dan suka menghujat/membully mereka yg LGBTQ atau minoritas lainnya, terserah bagi yg ingin pro atau kontra, saya memang bukan seorang LGBTQ, namun  saya merasa sangat prihatin terhadap siapapun yg menjadi korban bullying dan diskriminasi termasuk merasa sangat prihatin terhadap LGBTQ yg selalu menjadi korban dari segala bentuk diskriminasi, sehingga saya hanya ingin menyampaikan kalian semua beberapa hal yg sangat penting untuk selalu diingat dan direnungkan dalam diri, yaitu:<br><br> 6 anjuran moralitas universal, yaitu : <br>1. Aku bertekad akan berusaha semaksimal mungkin menghindari segala bentuk diskriminasi<br><br>2. Aku bertekad akan berusaha semaksimal mungkin menghindari segala bentuk kekerasan fisik dan verbal<br><br>3. Aku bertekad akan berusaha semaksimal mungkin menghindari segala bentuk bullying fisik, verbal dan sosio-kultural<br><br>4. Aku bertekad akan berusaha semaksimal mungkin menghindari segala bentuk intoleransi <br><br>5. Aku bertekad akan berusaha semaksimal mungkin menghindari segala bentuk persekusi <br><br>6. Aku bertekad akan berusaha semaksimal mungkin menghindari segala bentuk perkataan yg menghujat/mencaci maki dan menyalah-nyalahkan<br><br>Karena segala bentuk diskriminasi, kekerasan fisik dan verbal, bullying dalam bentuk verbal-fisik dan sosio-kultural, intoleransi, persekusi dan ucapan yg menghujat/mencaci maki/menyalah-nyalahkan kepada siapapun(termasuk kepada LGBTQ), dengan alasan apapun, untuk tujuan apapun dan dengan maksud apapun adalah karma buruk yg pasti akan berbuah buruk meskipun diri kita sendiri sudah berdoa, bertobat, dan penebusan dosa sekalipun. Disebut karma buruk karena Karena segala bentuk diskriminasi, kekerasan fisik dan verbal, bullying dalam bentuk verbal-fisik dan sosio-kultural, intoleransi, persekusi dan ucapan yg menghujat/mencaci maki/menyalah-nyalahkan kepada siapapun, dengan alasan apapun, untuk tujuan apapun dan dengan maksud apapun akan berbuah penderitaan tekanan mental dan tekanan bathin/merasa terancam dan penderitaan dalam diri orang lain. <br><br>Tidak ada yg bisa menyelamatkan diri kita dari reaksi karma dan tidak ada yg bisa menghapuskan reaksi karma.<br>Sehingga satu-satunya jalan untuk menyelamatkan kita dari reaksi karma buruk tsb hanyalah dengan cara berlatih mengurangi dan berlatih menghindari segala bentuk diskriminasi, segala bentuk bullying verbal-fisik dan sosio-kultural, segala bentuk persekusi, intoleransi dan segala bentuk ucapan yg menghujat secara kasar atau halus dimulai dari diri sendiri untuk diri kita sendiri dan menumbuhkan hati dan pikiran yg cinta kasih dan welas asih kepada semua makhluk (termasuk kepada mereka yg banci, LGBTQ dan minoritas lainnya) 🙏😇<br><br>Demikian 6 anjuran moralitas universal dan cinta kasih, semua orang semestinya selalu mengingat dan berlatih menjalankan 6 anjuran luhur ini, demi kedamaian dan kebahagiaan semua makhluk 🙏🙏😇<br><br>Selalu ingat Semoga semua makhluk berbahagia dan Rahayu 🙏😇<br><br>Dengan selalu ingat semoga semua makhluk berbahagia dan Rahayu, ketika muncul niat ingin mendiskriminasi, membullying, intoleransi, melakukan kekerasan, persekusi dan keinginan untuk menghujat siapapun dan dimanapun, dengan alasan apapun dan untuk tujuan apapun, kita menjadi berpikir, &quot;baru saja aku mengingat semoga semua makhluk berbahagia dan Rahayu 🙏😇 jadi buat apa aku mendiskriminasi, membully, intoleransi, melakukan kekerasan, memperkusi dan menghujat orang lain sehingga berbuah penderitaan, tekanan bathin dan mental dalam diri orang lain?&quot; <br><br>Demikianlah semua manusia dan semua makhluk menyayangi nyawa dan kehidupannya sendiri 🙏😇 semua manusia bagaimanapun keadaannya dan semua makhluk mendambakan kehidupan yang berbahagia 🙏😇 jadi, tidaklah layak bila kita mencari kebahagiaan ataupun mendapatkan kebahagiaan bila dalam diri kita masih ada rasa/niat ingin mendiskriminasi, melakukan kekerasan verbal dan fisik, membullying, intoleransi, mempersekusi ataupun menghujat orang lain sehingga berbuah penderitaan, tekanan mental dan bathin dalam diri orang lain 🙏😇<br><br>Semoga dapat direnungkan oleh kita semua demi kebaikan bersama 🙏🙏😇😇😇😇😇😇😇	1
Nah terus hewan itu ada juga yg lgbt, dan hanya satu spesies yg juga mendukung anti lgbt, MANUSIA, nah terus hewan yg homo itu ke neraka gak? Apakah itu artinya lgbt itu natural? Kenapa manusia harus me-lawan sama spesies?	2
Makasih:)<br>Aku tidak sendirian😊	1
Ngaur cewek itu	0
Makasih kak aku jadi bangga jadi biseksual	1
menjadi lgbt itu pilihan dan pilihan kalian salah dan mengharapkan pilihan kalian dibenarkan,ingat kami respect kalian secara kemanusiaan bukan kelakuan kalian ,jadi jangan harap lgbt bisa bebas diindo	0
dibarat ada islamphobia, disini ada homophobia	2
Heh bayangkan cowok nikah sama cowok kagam bisa hamil kan? Lah masa cowok hamil cowok gak bakal berkembang biak kalo gak ada cewek tolol ._.	0
